[2024-05-13 15:08:02.469]	     | Already up to date.
[2024-05-13 15:08:02.512]	 Invoking /home/user/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-05-13 15:08:02.555]	 Done.

[2024-05-13 15:11:43.015]	 List of discovered tpm plugins: tmux-plugins/tmux-cpu
[2024-05-13 15:11:43.033]	 Invoking /home/user/.config/tmux/plugins/tpm/bin/install_plugins
[2024-05-13 15:11:43.057]	 Already installed "tmux-cpu"
[2024-05-13 15:11:43.070]	 Invoking /home/user/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-05-13 15:11:43.082]	 Updating all plugins!
[2024-05-13 15:11:43.082]	 
[2024-05-13 15:11:43.853]	   "tmux-cpu" update success
[2024-05-13 15:11:43.859]	     | Already up to date.
[2024-05-13 15:11:43.907]	 Invoking /home/user/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-05-13 15:11:43.958]	 Done.

[2024-05-13 15:14:03.564]	 List of discovered tpm plugins: tmux-plugins/tmux-cpu
[2024-05-13 15:14:03.576]	 Invoking /home/user/.config/tmux/plugins/tpm/bin/install_plugins
[2024-05-13 15:14:03.598]	 Already installed "tmux-cpu"
[2024-05-13 15:14:03.611]	 Invoking /home/user/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-05-13 15:14:03.621]	 Updating all plugins!
[2024-05-13 15:14:03.621]	 
[2024-05-13 15:14:04.430]	   "tmux-cpu" update success
[2024-05-13 15:14:04.433]	     | Already up to date.
[2024-05-13 15:14:04.451]	 Invoking /home/user/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-05-13 15:14:04.500]	 Done.

[2024-05-13 15:14:49.749]	 List of discovered tpm plugins: tmux-plugins/tmux-cpu
[2024-05-13 15:14:49.763]	 Invoking /home/user/.config/tmux/plugins/tpm/bin/install_plugins
[2024-05-13 15:14:49.790]	 Already installed "tmux-cpu"
[2024-05-13 15:14:49.806]	 Invoking /home/user/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-05-13 15:14:49.821]	 Updating all plugins!
[2024-05-13 15:14:49.821]	 
[2024-05-13 15:14:50.586]	   "tmux-cpu" update success
[2024-05-13 15:14:50.589]	     | Already up to date.
[2024-05-13 15:14:50.606]	 Invoking /home/user/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-05-13 15:14:50.638]	 Done.

